"opportunity_id","opportunity_number","opportunity_title","opportunity_status","agency_code","category","category_explanation","post_date","close_date","close_date_description","archive_date","is_cost_sharing","expected_number_of_awards","estimated_total_program_funding","award_floor","award_ceiling","additional_info_url","additional_info_url_description","opportunity_assistance_listings","funding_instruments","funding_categories","funding_category_description","applicant_types","applicant_eligibility_description","agency_name","top_level_agency_name","agency_contact_description","agency_email_address","agency_email_address_description","is_forecast","forecasted_post_date","forecasted_close_date","forecasted_close_date_description","forecasted_award_date","forecasted_project_start_date","fiscal_year","created_at","updated_at","url","summary_description"
"791c80db-0aa6-4e02-ac16-8a2b59690f96","GH-BAA-2018-INTELLIGENT-FORECASTING","Intelligent Forecasting Addendum","closed","USAID-GS","discretionary","","2020-07-14","2020-09-08","","","False","3","225000","0","225000","","","98.001|USAID Foreign Assistance for Programs Overseas","grant","health","","unrestricted","","USAID","Agency for International Development","Intelligent Forecasting team","forecastingprize@usaid.gov","Intelligent Forecasting team email address","False","","","","","","","","","https://simpler.grants.gov/opportunity/791c80db-0aa6-4e02-ac16-8a2b59690f96","<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">The USAID Office of Population and Reproductive Health (PRH) team is issuing an Addendum under the GH-BAA-2018 document. This addendum is entitled ""Intelligent Forecasting: A Competition to Model Future Contraceptive Use"" and it seeks to encourage innovation and drive progress through intelligent forecasting methods to predict contraceptive consumption at the service delivery level of the public sector health system in Côte d’Ivoire.</span></p> 
<p><br></p> 
<p><span style=""background-color: transparent;"">This Addendum intends to issue awards under the following two (2) categories: </span></p> 
<p><span style=""background-color: transparent;"">A) Forecasting Prize&nbsp;</span></p> 
<ol> 
 <li><span style=""background-color: transparent; color: rgb(0, 0, 0);"">One award for best performing model: 20,000 USD prize;</span></li> 
 <li><span style=""background-color: transparent; color: rgb(0, 0, 0);"">One award for second-best performing model: 5,000 USD prize.&nbsp;</span></li> 
</ol> 
<p><br></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">B) F</span><span style=""background-color: transparent;"">ield Implementation Grant&nbsp;</span></p> 
<ol> 
 <li><span style=""background-color: transparent; color: rgb(0, 0, 0);"">One award of approximately 100,000-200,000 USD for the most compelling Field Implementation Grant concept note.</span></li> 
</ol> 
<p><br></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Expressions of Interests (EOI) must be submitted to the following online entry platform no later than Tuesday, </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">September 8, 2020 at 11:59 p.m.</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> (loacal Washington, DC time):</span></p> 
<p><a href=""https://competitions4dev.org/forecastingprize"" target=""_blank"" style=""background-color: transparent; color: rgb(17, 85, 204);"">https://competitions4dev.org/forecastingprize</a></p> 
<p><br></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">All questions, comments, or concerns must be submitted to the following email address no later than Tuesday, August 4, 2020 at 11:00am (local Washington, DC time):</span></p> 
<p><span style=""background-color: transparent; color: rgb(17, 85, 204);"">forecastingprize@usaid.gov</span><span style=""background-color: transparent; color: rgb(0, 0, 0);"">. </span></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Please note, any EOIs submitted to the Questions email address will not be reviewed and will be considered ineligibile for consideration. </span></p> 
<p><br></p> 
<p><br></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Amendment #1: Q&amp;A and Webinar information - posted on 8.12.2020</span></p> 
<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Amendment #2: Follow-up Q&amp;A from the Webinar session - posted on 8.20.2020</span></p> 
<p><br></p> 
<p><br></p> 
<p><br></p> 
<p><br></p>"
"b8bee568-b74b-4b6f-862f-899b421e42bf","ODNI-FOA-24-01","Intelligence Community Centers for Academic Excellence","archived","ODNI","discretionary","","2024-03-14","2024-05-13","","2024-06-12","False","6","15000000","2500000","2500000","See Related Documents","","54.001|Intelligence Community Centers for Academic Excellence","grant","other","Intelligence Community program for the acquisition of competitive talent in the Intelligence Community.","other","Applicants must meet the Eligibility Criteria Checklist attached.","Office of the Director of National Intelligence","Office of the Director of National Intelligence","Maylily Le
Grantor
Phone 703-275-2948","dni-foa-24-01@iarpa.gov","dni-foa-24-01@iarpa.gov","False","","","","","","","","","https://simpler.grants.gov/opportunity/b8bee568-b74b-4b6f-862f-899b421e42bf","<p>The Office of the Director of National Intelligence (ODNI) serves as the head of the U.S. Intelligence Community (IC), overseeing and directing the implementation of the National Intelligence Program and acting as the principal advisor to the President, the National Security Council, and the Homeland Security Council for intelligence matters related to national security.</p>
<p><br></p>
<p>ODNI’s Office of the Assistant Director of National Intelligence for Human Capital (ADNI/HC) houses the IC Centers for Academic Excellence (CAE) Program Office (IC CAE PO), responsible for developing and distributing this Funding Opportunity Announcement (FOA), managing the application review process, and providing post-award grants program administration.</p>
<p><br></p>
<p>The design of the IC CAE Program was formulated and executed in accordance with:</p>
<p><br></p>
<p>· The Intelligence Authorization Act (IAA) for Fiscal Year (FY) 2010 (updated/amended</p>
<p>18 July 2019);</p>
<p><br></p>
<p>· 50 U.S.C. 3224 (“Intelligence Officer Training Program”); and</p>
<p><br></p>
<p>· 50 U.S.C. 3024(n)(4) (“Acquisition and Other Authorities”)</p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">The IC CAE Program began as a three-year pilot project directed by congressional authorization and appropriation for FY 2004 and was initiated by the Director of Central Intelligence to meet the nation’s demand for “a diverse cadre of professionals to carry out national security priorities and obligations”. In 2005, following the establishment of ODNI, the program moved under ODNI management with the intent to increase the pool of applicants by expanding awareness of the IC mission and culture throughout ethnically and geographically diverse communities. From October 2011 through December 2019, the IC CAE Program was managed by the Defense Intelligence Agency (DIA), with oversight from ODNI, and expanded in scope and number of grant recipients. In December 2019, congress returned management of the IC CAE Program to the ODNI.</span></p>
<p><br></p>
<p>Section 1024 of the National Security Act, as last amended in 2019, provides for this Program as follows:</p>
<p><br></p>
<p>(a) PROGRAMS —</p>
<p><br></p>
<p>(1) The Director of National Intelligence may carry out grant programs in accordance with subsections (b) and (c) to enhance the recruitment and retention of an ethnically&nbsp;<span style=""color: rgb(0, 0, 0);"">and culturally diverse intelligence community workforce with capabilities critical to the national security interests of the United States. </span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">(2) In carrying out paragraph (1), the Director shall identify the skills necessary to meet current or emergent needs of the intelligence community and the educational disciplines that will provide individuals with such skills. </span></p>
<p><br></p>
<p>(b) INSTITUTIONAL GRANT PROGRAM —</p>
<p><br></p>
<p>(1) The Director may provide grants to institutions of higher education [IHEs] to support the establishment or continued development of programs of study in educational disciplines identified under subsection (a)(2).</p>
<p><br></p>
<p>(2) A grant provided under paragraph (1) may, with respect to the educational disciplines identified under subsection (a)(2), be used for the following purposes:</p>
<p>(A) Curriculum or program development.</p>
<p>(B) Faculty development.</p>
<p>(C) Laboratory equipment or improvements.</p>
<p>(D) Faculty research.</p>
<p><br></p>
<p>(c) GRANT PROGRAM FOR CERTAIN MINORITY-SERVING COLLEGES AND UNIVERSITIES.</p>
<p><br></p>
<p>(1) The Director may provide grants to Historically Black Colleges and Universities [HBCUs] and Predominantly Black Institutions [PBIs], Hispanic Serving Institutions [HSIs], and Asian American and Native American Pacific Islander-Serving Institutions [AANAPISIs] to provide programs of study in educational disciplines identified under subsection (a)(2) or described in paragraph (2).</p>
<p>(2) A grant provided under paragraph (1) may be used to provide programs of study in the following educational disciplines:</p>
<p>(A) Intermediate and advanced foreign languages deemed in the immediate interest of the intelligence community, including Farsi, Pashto, Middle Eastern, African, and South Asian dialects.</p>
<p>(B) Study abroad programs and cultural immersion programs.</p>
<p><br></p>
<p>(d) APPLICATION— An institution of higher education seeking a grant under this section shall submit an application describing the proposed use of the grant at such time and in such manner as the Director may require.</p>
<p><br></p>
<p>(e) REPORTS— An institution of higher education that receives a grant under this section shall submit to the Director regular reports regarding the use of such grant, including—</p>
<p>(1) a description of the benefits to students who participate in the course of study funded by such grant;</p>
<p>(2) a description of the results and accomplishments related to such course of study; and</p>
<p>(3) any other information that the Director may require</p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">For the 2024 IC CAE grant cycle, any acceptably accredited four-year Institutions of Higher Education (IHE) in the United States (its Territories and the District of Columbia) shall be eligible to apply as a Lead Institution. Acceptably accredited two-year IHE in the United States (its Territories and the District of Columbia), e.g., “Community Colleges” shall be eligible to apply as consortium partners, not as lead institutions. </span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">If the lead IHE is one of the four Minority Serving Institutions (MSIs) categories listed in (c)(1) above, a consortium partner(s) is optional, but not required. However, if the lead IHE does not belong to one of the four MSI categories, then the application must include at least one additional IHE that qualifies as one of the four MSI categories listed above. Schools designated as any of these four MSI categories may be either the lead applicant or a consortium partner, or these MSI categories may make up the entire consortium. IHEs with Minority-serving designations other than the four listed may be either the lead applicant or a partner so long as at least one member school from the four named MSI categories is also a partner. </span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">The 2022 IC CAE grant receiving institutions and their consortia partners are not eligible to apply as they may not receive funds for the same initiative from two separate grants at the same time. More detailed information on eligibility can be found in Section III – Eligibility.</span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">IHEs that receive grants under this program (lead and IHE consortia members) shall submit to the DNI, regular reports regarding the use of the grant funds including:</span></p>
<p><br></p>
<p>· <span style=""color: rgb(0, 0, 0);"">A description of the benefits to students who participate in the course(s) of study funded by the grant. </span></p>
<p>· A description of the results and accomplishments related to the program objectives for the selected instructional pathway.</p>
<p>· The number of IC CAE Scholars and aspiring Scholars</p>
<p>· Demographic information related to participating students (anonymized).</p>
<p>· Any additional programmatic information that the IC CAE Program may require.</p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">Applicants (lead and consortia member IHEs) for this funding opportunity announcement acknowledge and accept these reporting requirements and must reflect this understanding and their compliance plans in their applications. Recipients of this grant shall be required to report metrics related to student ethnic and cultural diversity, as well as participation in all funded aspects of their program.</span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0);"">Schools selected as grant recipients become known as IC CAE Program Schools. Students that participate in IC CAE Program School-funded curricula and programs are encouraged to work towards becoming IC CAE Scholars, a status obtained by achieving certain milestones and defined in the Key References, Appendix B. This association propels the students toward becoming part of an IC talent pool of choice. Becoming a scholar also recognizes students’ exceptional intellect, academic achievements, and dedication to knowledge pursuit.</span></p>
<p><br></p>
<p>The IC CAE Program Office at ODNI (IC CAE PO) encourages applications that showcase innovative ideas for establishing enduring curriculum, partnerships, and programs in areas of interest to the IC and national security. The IC CAE PO has found the most successful recipients are those guided by personnel with knowledge of and experience in the IC; however, this is not a requirement. Further findings show that school programs are enhanced by partnerships with and outreach to IC installations (offices, bases, or other concentrations of personnel) and private industry in their regions supporting intelligence/national security work. This allows additional resources to provide Subject Matter Expert speakers, internship opportunities, and other interactions with intelligence professionals.</p>
<p><br></p>
<p>Applicants for this grant are encouraged to obtain and become familiar with the information on the IC CAE Program by accessing the ODNI website at: https://www.odni.gov/iccae.</p>"
"ce697669-b94a-459b-bded-19615b901f5b","ODNI-FOA-22-01","Intelligence Community Centers For Academic Excellence","archived","ODNI","discretionary","","2022-04-08","2022-05-24","Closing date May 24, 2022 by 4:00pm (EST)","2022-06-23","False","3","7500000","2500000","2500000","","","54.001|Intelligence Community Centers for Academic Excellence","grant","other","Intelligence Community program for the acquisition of competitive talent in the Intelligence Community.","other","Applicants must meet the Eligibility Criteria Checklist attached.","Office of the Director of National Intelligence","Office of the Director of National Intelligence","Linda A Rodrock
Grantor
Phone 3012431887","linda.rodrock@iarpa.gov","Grants Manager","False","","","","","","","","","https://simpler.grants.gov/opportunity/ce697669-b94a-459b-bded-19615b901f5b","<p><span style=""color: black;"">The Office of the Director of National Intelligence (ODNI) serves as the head of the U.S. Intelligence Community&nbsp;(IC), overseeing and directing the implementation of the National Intelligence Program and acting as the principal advisor to the President, the National Security Council, and the Homeland Security Council for intelligence matters related to national security.&nbsp;</span></p>
<p>ODNI’s Office of the Assistant Director of National Intelligence for Human Capital (ADNI/HC)&nbsp;houses the IC Centers for Academic Excellence (CAE)&nbsp;Program Office&nbsp;(IC CAE&nbsp;PO), responsible for developing and distributing this Funding Opportunity Announcement (FOA), managing the application review process, and providing post-award grants program administration.</p>
<p><span style=""color: black;"">The design of the IC CAE Program was formulated and</span><span style=""color: rgb(50, 49, 48);""> executed in accordance with:</span></p>
<p>·&nbsp;&nbsp;&nbsp;<span style=""color: black;"">The Intelligence Authorization Act (IAA) for Fiscal Year (FY)&nbsp;2010</span> (updated/amended 18 July 2019);&nbsp;</p>
<p>·&nbsp;&nbsp;&nbsp;50 U.S.C. 3224 (“Intelligence Officer Training Program”);&nbsp;and</p>
<p>·&nbsp;&nbsp;&nbsp;50 U.S.C. 3024(n)(4) (“Acquisition and Other Authorities”)&nbsp;&nbsp;</p>
<p><span style=""color: black;"">The IC CAE Program is a congressionally mandated program designed to promote the acquisition of competitive talent in concert with the U. S. IC’s Human Capital Vision 2020. </span>As background, the IC CAE Program began as a&nbsp;one-year pilot project directed by IAA for FY 2004&nbsp;and initiated by the&nbsp;Director of Central Intelligence to&nbsp;meet the nation’s demand for a diverse cadre of professionals&nbsp;to carry out national security priorities and&nbsp;obligations. In 2005, following the establishment of ODNI, the program moved under ODNI management with the intent to&nbsp;increase the pool of applicants by&nbsp;expanding&nbsp;awareness of the IC mission and culture throughout ethnically and geographically diverse communities.</p>"
"1edb23fc-7798-4b45-bd6f-8354638dd588","DARPA-BAA-16-53","Explainable Artificial Intelligence (XAI)","archived","DOD-DARPA-I2O","discretionary","","2016-08-10","2016-11-01","","2016-12-01","False","","","","","","","12.910|Research and Technology Development","cooperative_agreement;procurement_contract;other","science_technology_and_other_research_and_development","","unrestricted","","DARPA - Information Innovation Office","Department of Defense","Technical POC, PM DARPA/I2O","XAI@darpa.mil","XAI@darpa.mil","False","","","","","","","","","https://simpler.grants.gov/opportunity/1edb23fc-7798-4b45-bd6f-8354638dd588","DARPA is soliciting innovative research proposals in the areas of machine learning and human-computer interaction.  The goal of Explainable Artificial Intelligence (XAI) is to create a suite of new or modified machine learning techniques that produce explainable models that, when combined with effective explanation techniques, enable end users to understand, appropriately trust, and effectively manage the emerging generation of Artificial Intelligence (AI) systems. Proposed research should investigate innovative approaches that enable revolutionary advances in science, or systems.  Specifically excluded is research that primarily results in evolutionary improvements to the existing state of practice."
"2a04f55f-06d7-4451-a637-78574895616b","20240214-RAI","Humanities Research Centers on Artificial Intelligence","closed","NEH","discretionary","","2023-10-24","2024-02-14","","","False","2","1000000","1","500000","https://www.neh.gov/grants/research/ai-research-centers","Humanities Research Centers on Artificial Intelligence","45.161|Promotion of the Humanities Research","grant","arts","Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200","city_or_township_governments;public_and_state_institutions_of_higher_education;county_governments;private_institutions_of_higher_education;federally_recognized_native_american_tribal_governments;nonprofits_non_higher_education_with_501c3;state_governments;special_district_governments","","National Endowment for the Humanities","National Endowment for the Humanities","Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
AICenters@neh.gov","AICenters@neh.gov","AICenters@neh.gov","False","","","","","","","","","https://simpler.grants.gov/opportunity/2a04f55f-06d7-4451-a637-78574895616b","The National Endowment for the Humanities (NEH) Division of Research Programs is accepting applications for the Humanities Research Centers on Artificial Intelligence (AI) program. Launched through NEH’s new Humanities Perspectives on Artificial Intelligence initiative, the purpose of the program is to create new humanities research centers on AI at eligible institutions. Centers must focus their scholarly activities on exploring the ethical, legal, or societal implications of AI, as outlined by the 2023 National Artificial Intelligence Research and Development Strategic Plan. Centers should include scholars from multiple disciplines, but they must be led by scholars in the humanities or humanistic social sciences. NEH is particularly interested in Centers that explore the impacts of AI-related technologies in the areas of equity, privacy, or civil rights."
"d2b71230-48f7-45bb-828d-1d9420170a2a","RFI-GI-AI-21-01","Gender Inequity in Artificial Intelligence Activity","archived","USAID","discretionary","","2021-03-24","2021-05-04","","2021-06-03","False","","","","","https://medium.com/usaid-2030/how-can-we-address-gender-inequity-in-artificial-intelligence-41367b0e1f87","Blog Link","98.001|USAID Foreign Assistance for Programs Overseas","other","other","Request for Information Only (Not a Funding Opportunity)","unrestricted","","Agency for International Development","Agency for International Development","Shachee Doshi
PROG OFFCR -LAB/GS
DDI/ITR","shdoshi@usaid.gov","Email","False","","","","","","","","","https://simpler.grants.gov/opportunity/d2b71230-48f7-45bb-828d-1d9420170a2a","<p><br></p><p><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">This Request for Information (RFI),&nbsp;is a preliminary call to solicit responses from individuals, groups, and organizations about sources of artificial intelligence (AI)-related gender inequity in the context of developing countries. To encourage wide participation and crowdsourcing in this effort, we are requesting all inputs to this RFI be made on the associated blog posted to USAID Medium.</strong></p><p><br></p><p><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">The objective of this RFI is to shine a light on the various contributors to gendered outcomes of AI tools and applications in developing countries. The interactive RFI process will allow respondents to share their experiences, impressions and suggested ideas related to this issue in a manner that fosters a shared understanding and generates opportunities for collaboration. </strong></p><p><br></p><p><strong>Through this RFI, USAID seeks to collect community input to inform and enhance the design of a prospective activity that addresses how gender bias manifests in artificial intelligence as used in low and middle income countries.</strong></p>"
"dbf86ea9-d57b-40c2-84fd-5491301b2255","RFA-AG-26-006","Artificial Intelligence and Technology Collaboratory (P30 Clinical Trial Optional)","archived","HHS-NIH11","discretionary","","2025-09-10","2025-12-09","","2026-02-07","False","","","","","http://grants.nih.gov/grants/guide/rfa-files/RFA-AG-26-006.html","https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-26-006.html","93.866|Aging Research","grant","health","","city_or_township_governments;federally_recognized_native_american_tribal_governments;state_governments;for_profit_organizations_other_than_small_businesses;private_institutions_of_higher_education;other_native_american_tribal_organizations;special_district_governments;nonprofits_non_higher_education_with_501c3;independent_school_districts;county_governments;nonprofits_non_higher_education_without_501c3;public_and_state_institutions_of_higher_education;other;small_businesses;public_and_indian_housing_authorities","Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organization) are not eligible to apply.Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.Foreign components, as defined in the NIH Grants Policy Statement, are allowed.","National Institutes of Health","Department of Health and Human Services","NIH Grants Information
grantsinfo@nih.gov","grantsinfo@nih.gov","See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.","False","","","","","","","","","https://simpler.grants.gov/opportunity/dbf86ea9-d57b-40c2-84fd-5491301b2255","<p>This Notice of Funding Opportunity (NOFO) invites Center Core (P30) applications for the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITC) program. The AITC Program promotes the development and implementation of artificial intelligence approaches and technology through research projects for aging and AD/ADRD research. All applications should propose strategies for addressing ethical challenges surrounding artificial intelligence and technologydevelopment and implementation, and to employ, when possible, best practices established in the fields of aging and AD/ADRD.</p>"
"69defe36-68c2-4877-b89f-fde7d40ec481","20241211-RAI","Humanities Research Centers on Artificial Intelligence","closed","NEH","discretionary","","2024-09-04","2024-12-11","","","False","5","2500000","1","500000","https://www.neh.gov/program/humanities-research-centers-artificial-intelligence","https://www.neh.gov/program/humanities-research-centers-artificial-intelligence","45.161|Promotion of the Humanities Research","grant","humanities","","nonprofits_non_higher_education_with_501c3;state_governments;public_and_state_institutions_of_higher_education;private_institutions_of_higher_education;federally_recognized_native_american_tribal_governments;special_district_governments;county_governments;city_or_township_governments","See C. Eligibility Information in the Notice of Funding Opportunity","National Endowment for the Humanities","National Endowment for the Humanities","Division of Research
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
aicenters@neh.gov","aicenters@neh.gov","aicenters@neh.gov","False","","","","","","","","","https://simpler.grants.gov/opportunity/69defe36-68c2-4877-b89f-fde7d40ec481","The National Endowment for the Humanities (NEH) Division of Research is accepting applications for the Humanities Research Centers on Artificial Intelligence program. The purpose of this program is to support the establishment of new collaborative humanities research centers focused on the legal, ethical, or societal implications of developing AI technologies. A Center is a sustained collaboration among multiple scholars focused on exploring the humanities implications of AI through two or more related scholarly activities."
"b7bdffa1-f9ac-479d-9556-d5c4cd791599","N00014-19-S-SN07","Artificial Intelligence/Machine Learning Enabled Capabilities","archived","DOD-ONR","discretionary","","2019-06-25","2019-09-06","","2019-10-06","False","","","2000000","12000000","https://www.onr.navy.mil/en/work-with-us/funding-opportunities/special-notices","Link to ONR Special Notice and Long Range BAA","12.300|Basic and Applied Scientific Research","procurement_contract;grant","science_technology_and_other_research_and_development","","other","See ONR Long Range BAA N00014-19-S-B001.","Office of Naval Research","Department of Defense","Phillip Lee
Contracting Officer
Phone 7036962820","phillip.m.lee2@navy.mil","Grants.gov","False","","","","","","","","","https://simpler.grants.gov/opportunity/b7bdffa1-f9ac-479d-9556-d5c4cd791599","The purpose of this Special Notice is to focus attention of the scientific community on (1) basic and applied research and development needs for Artificial Intelligence / Machine Learning; (2) identified needs and research interests in turning AI/ML into decision support / decision aiding tools for rapid deployment to Naval Command and Control applications; and (3) the timetable for submission of white papers and proposals addressing the research areas of interest described in the attached Special Notice document."
"e7ed1c99-681a-4e1d-bfd5-c1d0292b1eb1","20251210-RAI","Humanities Research Centers on Artificial Intelligence","closed","NEH","discretionary","","2025-07-08","2025-08-27","Competition canceled","","False","5","2500000","1","750000","https://www.neh.gov/program/humanities-research-centers-artificial-intelligence","https://www.neh.gov/program/humanities-research-centers-artificial-intelligence","45.161|Promotion of the Humanities Research","grant","humanities","","county_governments;private_institutions_of_higher_education;state_governments;federally_recognized_native_american_tribal_governments;nonprofits_non_higher_education_with_501c3;special_district_governments;city_or_township_governments;public_and_state_institutions_of_higher_education","See C. Eligibility Information in the Notice of Funding Opportunity","National Endowment for the Humanities","National Endowment for the Humanities","Division of Research
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
AICenters@neh.gov","AICenters@neh.gov","AICenters@neh.gov","False","","","","","","","","","https://simpler.grants.gov/opportunity/e7ed1c99-681a-4e1d-bfd5-c1d0292b1eb1","<p>The National Endowment for the Humanities (NEH) Division of Research is accepting applications for the Humanities Research Centers on Artificial Intelligence program. The purpose of this program is to support the establishment of new collaborative humanities research centers focused on gaining a clearer understanding of AI and its implications for the United States. A center is a sustained collaboration among multiple scholars focused on exploring the humanities implications of AI through two or more related scholarly activities.</p>"
